"YEAR","Citations","Year_Complete"
1986,17,"NO"
1987,48,"YES"
1988,88,"YES"
1989,124,"YES"
1990,167,"YES"
1991,232,"YES"
1992,311,"YES"
1993,379,"YES"
1994,490,"YES"
1995,564,"YES"
1996,682,"YES"
1997,781,"YES"
1998,885,"YES"
1999,887,"YES"
2000,1110,"YES"
2001,1130,"YES"
2002,1230,"YES"
2003,1380,"YES"
2004,1430,"YES"
2005,1630,"YES"
2006,1710,"YES"
2007,1830,"YES"
2008,2030,"YES"
2009,2130,"YES"
2010,2280,"YES"
2011,2260,"YES"
2012,2580,"YES"
2013,2550,"YES"
2014,2700,"YES"
2015,2580,"YES"
2016,2530,"YES"
2017,2510,"YES"
2018,2370,"YES"
2019,2300,"YES"
2020,2350,"YES"
2021,2270,"YES"
2022,2180,"YES"
2023,303,"NO"
