"item","CookD"
1,0.00344740097032275
2,0.00232279282838792
3,0.0151860095793712
4,0.00363981804830821
5,0.00089141336754353
6,0.00048089368838187
7,0.00481960804109146
8,0.00155833384403594
9,0.00313766450172228
10,0.00502024915028175
11,0.00650739298636261
12,0.00214427925073776
13,0.00174387269562662
14,0.00334313934526972
15,0.00313700292566333
16,0.000442253421816674
17,0.00596033601038949
18,0.00900480977822661
19,0.0120548105070355
20,0.00731119575951208
21,0.00623943519052975
22,0.00418464365360661
23,0.0155372165477527
24,0.0107843108971336
25,0.00152564633193655
26,0.000427303117052024
27,0.00135639602339518
28,0.0127765030968747
29,0.0551676024750098
30,0.0402106209126088
31,0.0109022353084993
32,0.00131764089640827
33,0.00322644179527168
34,0.00450144464869916
35,0.00519324109101249
36,0.0135621351171479
37,0.00300126583255061
38,0.0435425112511651
39,0.000417168093771275
40,0.000559550017390973
41,0.00807302343306881
42,0.00935751680397637
43,0.0018757984370333
44,0.0088890687090864
45,0.00520738398686754
46,0.000313517613050125
47,0.00203785916881948
48,0.0273448331115856
49,0.011143539677575
50,0.00946484924375231
51,0.00583769750523571
52,0.00501975869632557
53,0.00355994736109564
54,0.0054663910918991
55,0.0165793698013036
56,0.00315455179988308
57,0.00423060262214106
58,0.0176047561638059
59,0.00597189209040252
60,0.00249410840234698
61,0.032731193771737
62,0.0186455854439748
63,0.000843753288986428
64,0.00119546975874916
65,0.000868179110648662
66,0.0117941412284449
67,0.00203161273474267
68,0.0571896737743737
69,0.000743636681843159
70,0.00087624485490523
71,0.0512983981718498
72,0.0280156788755196
73,0.00756174115581502
74,0.0171944435670525
75,0.0136249590528653
76,0.0198725132546464
77,0.0118320067512632
78,0.141494548531891
79,0.00249714970310671
80,0.0996515671996402
81,0.00523928488306988
82,0.0046282218600612
83,0.00346316174770914
84,0.0080978588682458
85,0.00235534077025624
